[META]
total_cost=0.0000
num_routes=0
num_assigned=0
num_unassigned=0

[CUSTOMER]
# cid,x,y,tw_start,tw_end
0,20.0000,20.0000,0.0,1440.0
1,0.7460,6.1274,693.0,742.0
2,3.4920,-2.0999,1073.0,1129.0
3,-2.7927,-7.0707,873.0,921.0
4,-5.5332,4.9689,1169.0,1237.0
5,-7.5861,-3.9514,1168.0,1226.0
6,-4.6616,-7.5094,706.0,779.0
7,-8.5051,3.4049,761.0,848.0
8,2.3178,3.1832,649.0,707.0
9,4.2128,7.3871,606.0,692.0
10,-5.8712,-5.5673,1180.0,1229.0
11,0.5218,-2.3828,689.0,770.0
12,1.2176,-1.3484,895.0,950.0
13,1.9514,8.9608,730.0,786.0
14,-0.9437,-8.4696,942.0,1025.0
15,-1.7042,-3.0977,900.0,984.0
16,14.4506,-8.7654,557.0,641.0
17,33.3989,-4.2182,772.0,856.0
18,-5.5486,12.2273,914.0,972.0
19,-24.9557,-20.1758,1155.0,1228.0
20,14.7106,-12.5193,637.0,721.0
21,-11.7497,35.0961,575.0,623.0
22,-8.8317,-15.5197,831.0,917.0
23,-13.8100,-22.8051,730.0,795.0
24,-22.8799,17.7879,1011.0,1096.0
25,7.6149,8.6319,979.0,1049.0
26,-3.8300,-27.8021,950.0,1032.0
27,-0.9489,-27.1587,1071.0,1147.0
28,22.0320,-20.5978,1167.0,1235.0
29,-14.3588,29.6058,1058.0,1143.0
30,16.0801,7.0462,692.0,782.0
31,8.1984,-9.6011,1009.0,1066.0
32,0.3233,-37.5737,788.0,864.0
33,-8.6624,-13.7461,646.0,731.0
34,13.0909,-10.9595,1135.0,1208.0
35,-0.0791,-32.9113,569.0,652.0
36,-27.7414,15.6205,916.0,981.0
37,35.9799,-8.8348,565.0,643.0
38,-19.8658,8.2451,628.0,694.0
39,-14.7594,-31.3415,848.0,900.0
40,-25.4479,8.2659,1072.0,1144.0
41,-6.3918,38.8663,758.0,831.0
42,-7.9796,-18.8049,614.0,681.0
43,18.1512,-13.6373,1013.0,1097.0
44,21.5908,-11.0654,1021.0,1109.0
45,19.4248,-17.0996,937.0,996.0
46,-3.9490,-34.8007,672.0,731.0
47,10.5334,17.6216,1135.0,1195.0
48,5.1111,10.9733,966.0,1048.0
49,30.4884,13.0495,786.0,842.0
50,-19.4838,-8.7289,1209.0,1258.0
51,-8.6940,16.0356,1053.0,1119.0
52,-9.4223,-18.8091,905.0,992.0
53,16.6645,-0.2594,1079.0,1132.0
54,-7.2696,-30.7451,1040.0,1124.0
55,-30.4739,0.4177,1075.0,1152.0
56,30.9734,-24.4269,830.0,909.0
57,35.8692,6.8059,878.0,959.0
58,29.2919,-11.2364,858.0,923.0
59,-32.4104,-2.6507,675.0,759.0
60,14.5122,29.3930,623.0,696.0
61,7.2560,-33.7475,737.0,823.0
62,-14.3803,-0.8861,1151.0,1201.0
63,-18.8424,25.2549,952.0,1034.0
64,29.5539,-15.7833,849.0,905.0
65,-13.5634,35.7118,957.0,1043.0
66,10.9979,-14.3764,550.0,633.0
67,15.2856,-28.0053,1132.0,1216.0
68,-6.8912,36.8226,1111.0,1188.0
69,-10.2808,29.5870,946.0,1029.0
70,-12.9250,-33.6033,696.0,755.0
71,-21.4143,-0.0178,1159.0,1245.0
72,3.3500,31.3049,1153.0,1235.0
73,-19.0796,3.1157,802.0,857.0
74,-14.4203,0.4386,791.0,850.0
75,17.8560,-34.5128,865.0,945.0
76,6.1725,-11.9740,549.0,625.0
77,-8.9034,-33.0970,1136.0,1217.0
78,0.7359,-11.8178,1194.0,1255.0
79,6.4867,-18.7370,575.0,645.0
80,-16.1634,17.9560,1061.0,1114.0
81,12.7486,-13.9951,1024.0,1088.0
82,14.5061,-14.9097,701.0,782.0
83,17.5692,23.7074,828.0,883.0
84,-32.2887,-6.3378,974.0,1029.0
85,5.2885,-10.6107,591.0,662.0
86,22.2502,3.3628,606.0,695.0
87,-5.0788,-34.9821,678.0,762.0
88,10.1634,23.9869,604.0,679.0
89,-25.5471,-15.4194,971.0,1033.0
90,-33.6061,2.2047,830.0,909.0
91,-5.6320,-30.3322,1000.0,1079.0
92,8.2837,17.7735,887.0,967.0
93,0.7469,-28.7424,772.0,854.0
94,21.8352,-28.7650,763.0,837.0
95,-6.2284,-26.8258,865.0,934.0
96,-12.3210,10.3642,983.0,1072.0
97,7.2248,-12.1653,822.0,911.0
98,-19.3415,-35.0081,1158.0,1241.0

[UNASSIGNED]
# order_id,customer_id,weight,volume
